Title,Description,URL
The Eminence in Shadow ,"Studios: Nexus
Genres: Action, Comedy, Fantasy",https://youtu.be/9iQVgj4z-I4?si=_gRioiTcS_KbrPuo
The Idaten Deities Know Only Peace ,"Studios: MAPPA
Genres: Action, Adventure, Fantasy",https://youtu.be/x59-Lr9nnho?si=Zi2srkhHHUETfzHs
The Millionaire Detective  Balance: Unlimited ,"Studios: CloverWorks
Genre: Mystery",https://youtu.be/SJKQS5eYDTU?si=FqlS72dG7ld-pe65
The Misfit of Demon King Academy ,"Studios: SILVER LINK.
Genres: Action, Fantasy",https://youtu.be/hiopy_jxPIU?si=LAVLkCrHyry6CtP3
The Outcast,"Studios: Pandanium
Genres: Action, Supernatural",https://youtu.be/lomFOiviSF4?si=-BPBQh61byjQgl0x
The Quintessential Quintuplets ,"Studios: Tezuka Productions
Genres: Comedy, Romance",https://youtu.be/FKIT6G_lw7c?si=fEk3Tbu8D-oWmcdb
The Rising of the Shield Hero ,"Studios: Kinema Citrus
Genres: Action, Adventure, Drama, Fantasy",https://youtu.be/Plo0RvICDDI?si=NTc2134klnOt3C8L
To Your Eternity ,"Studios: Brain's Base
Genres: Adventure, Drama, Supernatural",https://youtu.be/2RrkFCw0t90?si=ICGzQUsW88FLIL8w
Tokyo 24th Ward ,"Studios: CloverWorks
Genres: Mystery, Sci-Fi",https://youtu.be/RolH6t8NOro?si=m7oqhcWsRjcSXYNO
Tokyo Revengers ,"Studios: LIDENFILMS
Genres: Action, Drama",https://youtu.be/By_JYrhx-WY?si=dimREVP0AgMqLIKH
